Green Bond ISIN,Green Bond Name,Trucost Issuer ID, Issuer Name,Issuer GICS Sector / Category,Issuer Country of Origin,Issue Date,Creation Date,Latest Analysis Date,Nominal Amount,Currency,USD Reported Currency Exchange Rate,Maturity Date,Coupon (%),Labelling,Africa (% of UOP),Asia (% of UOP),Europe (% of UOP),North America (% of UOP),Oceania (% of UOP),South America (% of UOP),Undisclosed region (% of UOP),CBI Category,CBI - Green Proceeds (% of UOP),CBI - Renewable Electricity and Heat Production (% of UOP),CBI - Other Electricity and Heat Production (% of UOP),CBI - Nuclear Energy (%UOP),"CBI -  Transmission, distribution & storage (% of UOP)",CBI -  Transport (% of UOP),CBI -  Water (% of UOP),CBI -  Buildings (% of UOP),CBI -  Land Use and Marine Resources (% of UOP),CBI -  Industry (% of UOP),CBI -  Waste (% of UOP),CBI -  ICT (% of UOP),CBI - Others Green (% of UOP),CBI - Undisclosed/Not disbursed proceeds (% of UOP),CBI - Proceeds that are Not Green (% of UOP),Wind Energy (% of UOP),Solar Energy (% of UOP),Hydro Energy (% of UOP),Geothermal Energy (% of UOP),Wave/Tidal Energy (% of UOP),Cogeneration Energy (% of UOP),Bioenergy (% of UOP),Residential Buildings (% of UOP),Commercial Buildings (% of UOP),Energy Efficient Products (% of UOP),Industrial Efficiencies (% of UOP),National Rail (% of UOP),Urban Rail (% of UOP),Public Road Transport (% of UOP),Private Road Transport (% of UOP),Social (% of UOP),Total (GWh),Total Area (m2),Total Passenger (km),Total Energy savings (MWh),CBI - Renewable Electricity and Heat Production (GWh),CBI - Area (m2),CBI - Passenger (km),CBI - Energy savings (MWh),Annual Construction & Disposal emissions (tCO2e),Annual Operational emissions (tCO2e),Lifetime Construction & Disposal emissions (tCO2e),Lifetime Operational emissions (tCO2e),Lifetime emission intensity (tCO2e per GWh),Lifetime emission intensity (tCO2e per Area m2),Lifetime emission intensity (tCO2e per passenger km),Lifetime emission intensity (tCO2e per energy savings MWh),SDG 13 (13.2) Calculated Avoided Emissions Intensity (tCO2e/USD million invested),SDG 13 (13.2) Calculated Avoided Emissions Attributable to the bond (tCO2e),Use of Proceeds Covered by Calculated Avoided Emissions (%),SDG 13 (13.2) Disclosed Avoided Emissions Intensity (tCO2e/USD million invested),SDG 13 (13.2) Disclosed Avoided Emissions (tCO2e),Use of Proceeds Covered by Disclosed Avoided Emissions (%),Calculated Avoided Emissions - Confidence Level,Issuer Score,Impact Score,Use of Proceeds Covered by Impact Score (%),Overall Governance Score,Governance/UOP Score (%),Governance/Process Score (%),Governance/Management Score (%),Governance/Reporting Score (%),Sources
XS2303089697,0.01% SNR EMTN 18/02/2028 EUR100000'280',203463,SpareBank 1 SMN,Financials,Norway,18/02/2021,19/05/2022,19/05/2022,500,EUR,1.15,18-02-28,0.01,Green,0,0,100,0,0,0,0,Buildings,100,0,0,0,0,4,0,77,17,0,0,0,1,0,0,0,0,0,0,0,0,0,65,12,0,0,0,0,0,0,0,NA,"225,355",NA,NA,NA,"225,355",NA,NA,"1,812","16,737","12,683","117,157",NA,5,NA,NA,-7,"-3,767",1,NA,NA,NA,Low,99,75,1,76,75,100,100,29,https://www.sparebank1.no/content/dam/SB1/bank/smn/om-oss/Barekraft/SpareBank-1-SMN-2020-Green-Bond-Allocation-Report.pdf
XS2265360359,0.625% SNR EMTN 02/12/30 EUR1000'35'REGS,48573,Stora Enso Oyj,Materials,Finland,02/12/2020,25/04/2022,25/04/2022,500,EUR,1.16,2/12/1930,0.63,Green,0,0,100,0,0,0,0,Land Use and Marine Resources,100,5,0,0,0,0,0,0,70,0,0,0,25,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86,"-50,000",0,NA,16,79,0,83,100,100,33,100,https://www.storaenso.com/-/media/documents/download-center/documents/investor-relations/2021/storaenso_green_bond_report_2021.pdf
XS2348325650,1.125% SNR EMTN 09/06/2041 EUR100000'22',231338,TenneT Holding B.V.,Utilities,Netherlands,09/06/2021,19/05/2022,19/05/2022,650,EUR,1.14,9/6/1941,1.13,Green,0,0,100,0,0,0,0,"Transmission, distribution & storage",100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,216",NA,NA,NA,"12,216",NA,NA,NA,"5,563","9,976","111,269","199,518",NA,NA,NA,NA,-466,"-345,357",1,-149,"-110,699",1,Moderate,NA,NA,1,100,100,100,100,100,https://www.tennet.eu/fileadmin/user_upload/Company/Profile/AR2021/2021_Green_Finance_Report_TenneT_Holding_B.V..pdf
XS2320453884,0.5% SNR EMTN 22/03/31 EUR100000'2''REGS,42811,UPM-Kymmene Oyj,Materials,Finland,22/03/2021,13/05/2022,13/05/2022,500,EUR,1.15,22-03-31,0.5,Green,0,0,66,0,0,0,34,Land Use and Marine Resources,66,0,0,0,0,0,0,0,44,0,0,0,22,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,39,36,0,90,58,100,100,100,https://www.upm.com/siteassets/asset/investors/debt/upm_green_bond_report_2021.pdf
XS2297882644,0.125% SNR EMTN 12/02/2029 EUR100000'162,42772,Vattenfall AB (publ),Utilities,Sweden,12/02/2021,11/05/2022,11/05/2022,500,EUR,1.16,12/2/2029,0.13,Green,0,0,59,0,0,0,41,Renewable Electricity and Heat Production,59,57,0,0,0,0,0,0,0,2,0,0,0,41,0,57,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"4,707", NA , NA , NA ,"4,707", NA , NA , NA ,"5,787","9,746","46,292","77,964",26, NA , NA , NA ,-378,"-218,839",1,-215,"-124,262",1,Low,39,66,1,95,79,100,100,100,https://group.vattenfall.com/siteassets/corporate/investors/annual-reports/2021/vattenfall-annual-and-sustainability-report2021.pdf
XS2320746394,0.9% SNR NTS 01/04/2041 EUR100000 'REGS',46152,VERBUND AG,Utilities,Austria,01/04/2021,12/05/2022,12/05/2022,500,EUR,1.15,1/4/1941,0.9,Green,0,0,69,0,0,0,31,Renewable Electricity and Heat Production,69,40,0,0,29,0,0,0,0,0,0,0,0,31,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,177",NA,NA,NA,"2,177",NA,NA,NA,304,477,"6,081","9,532",7,NA,NA,NA,-97,"-55,644",0,NA,NA,NA,Moderate,59,50,1,89,85,100,100,71,https://www.verbund.com/-/media/verbund/ueber-verbund/investor-relations/green-bond/verbund-green-bond-impact-report-2021_en.ashx
BE6327721237,1.5% SNR NTS 08/04/2029 EUR100000 'REGS',245615,VGP NV,Real Estate,Belgium,08/04/2021,16/05/2022,16/05/2022,600,EUR,1.15,8/4/2029,1.5,Green,0,0,100,0,0,0,0,Buildings,100,4,0,0,0,0,1,95,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,95,0,0,0,0,0,0,0,66,"1,111,416",NA,NA,66,"1,111,416",NA,NA,"8,576","76,314","68,610","610,515",163,5,NA,NA,-28,"-19,227",1,-4,"-3,020",0,Moderate,NA,81,1,83,100,100,33,100,https://www.vgpparks.eu/media/3833/group-green-financing-update-march-2022.pdf
XS2002017361,0.9% SNR EMTN 24/11/26 EUR100000'77'REGS,44449,Vodafone Group Public Limited Company,Communication Services,United Kingdom,24/05/2019,25/04/2022,25/04/2022,750,EUR,1.14,24-11-26,0.9,Green,0,0,5,0,0,0,95,ICT,100,0,0,0,0,0,0,5,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"18,725",NA,NA,NA,"18,725",NA,NA,137,"1,319",960,"9,232",NA,5,NA,NA,0,-302,0,"-8,913","-7,649,000",1,Low,73,74,0,94,75,100,100,100,https://investors.vodafone.com/sites/vodafone-ir/files/vodafone/debt-investors/green-bond-framework/vodafone-green-bond-report.pdf
DE000A3E5FR9,0.625% SNR NTS 24/03/2031 EUR100000'REGS,189501,Vonovia SE,Real Estate,Germany,24/03/2021,12/05/2022,12/05/2022,600,EUR,1.15,24-03-31,0.63,Green,0,0,100,0,0,0,0,Buildings,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,6,0,0,0,0,0,0,NA ,"338,072", NA , NA , NA ,"338,072", NA , NA ,"2,769","25,448","27,690","254,477", NA ,5, NA , NA ,-8,"-5,714",1,-8,"-5,646",1,Low,37,74,1,94,75,100,100,100,https://ir-api.eqs.com/media/document/8409f0ac-b98e-4b6d-bd45-71994e182df9/assets/Sustainable_Bond_Reporting_032022.pdf?disposition=inline
XS2345035963,EUR$ GLOBAL GTD SR NT 1.250 Dec-3-2027,49420,Wabtec Transportation Netherlands B.V.,Service,Netherlands,27/05/2021,09/05/2022,09/05/2022,500,EUR,1.14,3/12/2027,1.25,No sufficient information,0,0,0,0,0,0,100,Undisclosed/Not disbursed proceeds,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,17,36,1,57,0,100,100,29,https://ir.wabteccorp.com/static-files/96af8125-5603-4445-95d5-0e564ab16310; https://ir.wabteccorp.com/static-files/2d862f49-6c39-4ecf-8ec5-e05bc0ecea53; https://ir.wabteccorp.com/static-files/8f57419c-b2ef-450d-9573-8c235964150f; https://ir.wabteccorp.com/static-files/89fb7b4c-1371-46c6-acfc-99d9da85e727; https://www.wabteccorp.com/2021_Sustainability_Report?inline; https://ir.wabteccorp.com/static-files/304543d8-8c57-4a95-8c89-96705cafeb2b
US95040QAK04,GLOBAL NT 2.700 Feb-15-2027,45439,Welltower Inc.,Real Estate,United States,09/12/2019,23/05/2022,23/05/2022,500,USD,1,15-02-27,2.7,Green,0,0,27,30,0,0,44,Buildings,56,0,0,0,0,0,0,56,0,0,0,0,0,44,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,NA,"101,349",NA,NA,NA,"101,349",NA,NA,830,"5,668","6,641","45,346",NA,4,NA,NA,-2,"-1,059",1,NA,NA,NA,Low,27,58,1,71,56,100,100,29,https://welltower.com/wp-content/uploads/2021/12/Green-Bond-Allocation-Report-FINAL.pdf
XS2338564870,2% GTD SNR NTS 06/05/27 EUR100000'4'REGS,239693,ZF Finance GmbH,Financials,Germany,06/05/2021,11/05/2022,11/05/2022,500,EUR,1.15,6/5/2027,2,No sufficient information,0,0,0,0,0,0,100,Undisclosed/Not disbursed proceeds,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1,57,0,100,100,29,https://www.zf.com/mobile/en/company/investor_relations/sustainable_finance/sustainable_finance.html#sfreports_acc_493021_0; https://www.zf.com/master/media/corporate/m_zf_com/company/bonds_relations_/sustainable_finance/ZF_Green-Finance-Framework.pdf; https://www.zf.com/master/media/corporate/m_zf_com/company/bonds_relations_/sustainable_finance/ZF_SECOND-PARTY-OPINION.pdf; https://dl.bourse.lu/dl?v=xHfG2dN2CCnef3hzNeuJ1AQNZQKcSSFgLFrWrB9K+9KPRwThIdxqr5+mipfv/l4lThTq5yUX5H3by6U8dy5XtgXNu4MQStSbB4Z0jizvm+UCrsrQW2qObjglMC5tB24X4ZFQZU0YaTcDLBeL63v0GEQh1gBn47Z1iFm6eEmKaKTzxNs7TnnNAlZBltSCr8tZKP2OuwH8MrI22EHBdnaTxw==
XS2389343380,0.5% SNR NPF MTN 23/09/29 EUR100000'282',44519,ABN AMRO Bank N.V.,Financials,Netherlands,23/09/2021,16/06/2022,16/06/2022,1000,EUR,1.11,23-09-29,0.5,Green,0,0,92,0,0,0,8,Buildings,100,8,0,0,0,0,0,92,0,0,0,0,0,0,0,7,1,0,0,0,0,0,87,0,0,0,0,0,0,0,0,NA,"444,921",NA,NA,NA,"444,921",NA,NA,"3,644","46,923","32,797","422,307",NA,6,NA,NA,-11,"-11,997",1,NA,NA,NA,Low,91,75,1,76,75,100,100,29,https://assets.ctfassets.net/1u811bvgvthc/38ogjXJAdjjHjJTp1OWtzI/99ace6690703a7413155a105a9c2fea4/ABN_AMRO_Green_Bond_issues_20220331.pdf; https://assets.ctfassets.net/1u811bvgvthc/1unsTuFhYwpei5mI7gu1d5/ab6aa76e4715ca88a1b7015374dab94b/ABN_AMRO_GB_Investor_presentation_2021-09.pdf; https://assets.ctfassets.net/1u811bvgvthc/4lwR1U6DzdytXWFhV9uqC2/2c4c7269d1d0f16bc20bd59774677075/WE_Report_30741_-_CO2-emission_Green_Bonds_ABN-AMRO_per_1_January_2021_v2.pdf
XS1808739459,0.875% SNR MTN 22/04/25 EUR1000'270'REGS,44519,ABN AMRO Bank N.V.,Financials,Netherlands,18/04/2018,20/06/2022,20/06/2022,750,EUR,1.14,22-04-25,0.88,Green,0,0,100,0,0,0,0,Buildings,100,18,0,0,0,0,0,82,0,0,0,0,0,0,0,17,1,0,0,0,0,0,73,8,0,0,0,0,0,0,0,"1,378","210,585",NA,"2,804,181","1,378","210,585",NA,"2,804,181","3,677","26,108","29,418","208,868",35,7,NA,8,-119,"-102,507",1,-79,"-67,552",1,Moderate,91,77,1,95,79,100,100,100,https://assets.ctfassets.net/1u811bvgvthc/4lwR1U6DzdytXWFhV9uqC2/2c4c7269d1d0f16bc20bd59774677075/WE_Report_30741_-_CO2-emission_Green_Bonds_ABN-AMRO_per_1_January_2021_v2.pdf
XS2351301499,0.75% GTD SNR NTS 14/06/2028 EUR100000,NA,ACEF Holding S.C.A.,Real Estate,Luxembourg,14/06/2021,16/06/2022,16/06/2022,500,EUR,1.13,14-06-28,0.75,Green,0,0,100,0,0,0,0,Buildings,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,65,0,0,0,0,0,0,0,NA,"243,311",NA,NA,NA,"243,311",NA,NA,"1,823","16,060","14,580","128,477",NA,5,NA,NA,-6,"-3,531",1,-8,"-4,563",1,Low,NA,79,1,100,100,100,100,100,https://realassets.axa-im.com/documents/24669/0/AXA+CoRE+-+June+2022+Allocation+and+Impact+Report_Final.pdf/9d39499a-4468-ed10-09ff-d7bcf444c855?t=1655223710664
XS1854172043,SR SEC GLBL 24,236624,Adani Green Energy Limited,Utilities,India,30/05/2019,15/06/2022,15/06/2022,500,USD,1,10/12/2024,6.25,Green,0,100,0,0,0,0,0,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,446",NA,NA,NA,"11,446",NA,NA,NA,"89,163","144,363","534,975","866,175",123,NA,NA,NA,"-2,653","-1,326,473",1,"-3,580","-1,790,157",1,Moderate,81,83,1,100,100,100,100,100,https://www.adanigreenenergy.com/-/media/Project/GreenEnergy/Investor-Downloads/Green-Assurance-Report-I/Post-Issuance-Green-Bond-Information-Report-FY2020-21.pdf; https://www.adanigreenenergy.com/solar-power
US00654AAA43,GTD SR SECD NT RULE 144A 6.250 Dec-10-2024,236624,Adani Green Energy Limited,Utilities,India,30/05/2019,14/06/2022,14/06/2022,500,USD,1,10/12/2024,6.25,Green,0,100,0,0,0,0,0,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,446", NA , NA , NA ,"11,446", NA , NA , NA ,"89,163","144,363","534,975","866,175",123, NA , NA , NA ,"-2,653","-1,326,473",1,"-3,580","-1,790,157",1,Moderate,81,83,1,100,100,100,100,100,https://www.adanigreenenergy.com/-/media/Project/GreenEnergy/Investor-Downloads/Green-Assurance-Report-I/Post-Issuance-Green-Bond-Information-Report-FY2020-21.pdf; https://www.adanigreenenergy.com/solar-power
ES0200002063,0.55% SNR EMTN 31/10/2031 EUR100000'REGS,242599,ADIF-Alta Velocidad,Industrials,Spain,08/10/2021,26/05/2022,26/05/2022,600,EUR,1.11,31-10-31,0.55,Green,0,0,100,0,0,0,0,Transport,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,1,70,50,100,100,29,https://www.adifaltavelocidad.es/documents/34745/2324436/20211222+Investor_Newsletter-Dec-2021.pdf/5b62bfb4-0224-3aab-d10f-a449954bf056?t=1640193320459; https://www.adifaltavelocidad.es/documents/34745/4861497/6_INFORME_BONOS_VERDES-2020-eng.pdf/be8a1f4f-fc7b-f50b-2875-10ba0d5c2562?t=1637690152417&download=true
ES0200002030,1.25% SNR EMTN 04/05/26 EUR100000'5'REGS,242599,ADIF-Alta Velocidad,Industrials,Spain,04/05/2018,25/05/2022,25/05/2022,600,EUR,1.14,4/5/2026,1.25,Green,0,0,100,0,0,0,0,Transport,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-206,"-141,408",1,NA,NA,70,1,100,100,100,100,100,https://www.adifaltavelocidad.es/documents/34745/4861497/Bonosverdesing.pdf/4cb7b6f1-44bc-9bfd-dead-79c8d705ae0c?t=1637690968212&download=true
XS2380748439,0.01% PFBRF SNR 03/09/2029 EUR100000'11',44546,Amundi Austria Gmbh,Financials,Austria,01/09/2021,09/06/2022,09/06/2022,500,EUR,1.12,3/9/2029,0.01,No sufficient information,0,0,0,0,0,0,100,Undisclosed/Not disbursed proceeds,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,36,1,57,0,100,100,29,https://www.bourse.lu/security/XS2380748439/342127; https://www.bawaggroup.com/linkableblob/BAWAGGROUP/530114/f8aec564d09ae29d917fe8536a0b47bf/green-finance-framework-2021-data.pdf
XS1659112616,1.625% GTD SNR SEC MTN 10/08/25 GBP1000,43339,Anglian Water Services Financing Plc,Financials,United Kingdom,10/08/2017,21/06/2022,21/06/2022,250,GBP,1.32,10/8/2025,1.63,Green,0,0,100,0,0,0,0,Water,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-240,"-78,900",1,NA,NA,39,1,94,75,100,100,100,https://www.awg.com/siteassets/investors/anglian-water-services---tc/green-bond-impact-report2019.pdf
XS2363719050,1.25%-FRN SNR EMTN 13/07/27 EUR100000'3',52466,Banca Popolare di Sondrio S.p.A,Financials,Italy,13/07/2021,16/06/2022,16/06/2022,500,EUR,1.13,13-07-27,1.25,Green,0,0,100,0,0,0,0,Buildings,81,23,0,0,0,0,3,52,0,0,0,0,3,19,0,0,0,0,0,0,0,0,31,6,15,0,0,0,0,0,0,NA,"100,000",NA,NA,NA,"100,000",NA,NA,729,"6,991","5,104","48,940",NA,5,NA,NA,-3,"-1,601",0,NA,NA,NA,Low,NA,60,1,74,66,100,100,29,https://istituzionale.popso.it/sites/default/files/files/Slide%20Investor%20Presentation_0.pdf
XS2182404298,0.75% SNR MTN 04/06/2025 EUR100000 '166',44521,"Banco Bilbao Vizcaya Argentaria, S.A.",Financials,Spain,04/06/2020,25/05/2022,25/05/2022,1000,EUR,1.16,4/6/2025,0.75,Social,0,0,100,0,0,0,0,Proceeds that are Not Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,0,80,75,100,100,43,https://shareholdersandinvestors.bbva.com/wp-content/uploads/2021/07/20210702-BBVA-2020-Green-and-Social-Bond-Report.pdf
XS2353366268,0.875%-FRN SNR NPF EMTN 16/06/2028 EUR,44362,"Banco de Sabadell, S.A.",Financials,Spain,16/06/2021,17/06/2022,17/06/2022,500,EUR,1.13,16-06-28,0.88,No sufficient information,0,0,0,0,0,0,100,Undisclosed/Not disbursed proceeds,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,96,36,1,57,0,100,100,29,https://www.grupbancsabadell.com/corp/files/1454352957795/sabadell_snp_green_trade_june_21_-_final_terms_(execution_version).pdf
XS2357417257,0.625%-FR SNR NPF 24/06/29 EUR100000'116,44522,"Banco Santander, S.A.",Financials,Spain,24/06/2021,31/05/2022,31/05/2022,1000,EUR,1.13,24-06-29,0.63,Green,0,0,0,0,0,0,100,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,64,1,70,50,100,100,29,https://www.santander.com/content/dam/santander-com/en/documentos/informe-financiero-anual/2021/ifa-2021-consolidated-annual-financial-report-en.pdf#page=72; https://www.santander.com/content/dam/santander-com/en/contenido-paginas/nuestro-compromiso/financiaci%C3%B3n-de-proyectos-sostenibles/prf-santander-green-bond-framework-june-2020-en.pdf; https://www.santander.com/content/dam/santander-com/en/documentos/presentaciones-de-renta-fija/2020/06/prf-vigeo-eiris-second-party-opinion-santander-green-bond-en.pdf; https://www.santander.com/content/dam/santander-com/en/documentos/emisiones/documentos/em-xs2357417257-8-years-fixed-rate-senior-non-preferred-06-29-snp-116-en.pdf; https://www.santander.com/content/dam/santander-com/en/documentos/presentaciones-de-renta-fija/2022/04/prf-2022-04-26-fixed-income-investors-presentation-q1-2022-en.pdf
XS2311407352,0.375%-FRN SNR 10/05/2027 EUR100000'736',44146,Bank Of Ireland Group plc,Financials,Ireland,10/03/2021,31/05/2022,31/05/2022,750,EUR,1.15,10/5/2027,0.38,Green,0,0,100,0,0,0,0,Buildings,100,3,0,0,0,1,0,96,0,0,0,0,0,0,0,3,0,0,0,0,0,0,81,15,0,0,0,0,0,0,0,228,"299,710",NA,NA,228,"299,710",NA,NA,"2,802","20,563","19,616","143,941",33,4,NA,NA,-18,"-15,056",1,-16,"-13,780",1,Low,44,76,1,94,75,100,100,100,https://investorrelations.bankofireland.com/app/uploads/Impact-Report.pdf
FR0014004750,0.25% SNR EMTN 29/06/2028 EUR100000'REGS,226987,Banque F?d?rative du Cr?dit Mutuel Soci?t? anonyme,Financials,France,29/06/2021,17/06/2022,17/06/2022,750,EUR,1.13,29-06-28,0.25,No sufficient information,0,0,0,0,0,0,100,Undisclosed/Not disbursed proceeds,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,53,36,1,57,0,100,100,29,https://www.bfcm.creditmutuel.fr/partage/fr/CC/BFCM/telechargements/programmes-green/FT_serie519T1.pdf
XS2356569736,1%-FRN LT2 23/09/2031 EUR100000'865'REGS,241208,Bayerische Landesbank,Financials,Germany,23/06/2021,17/06/2022,17/06/2022,500,EUR,1.13,23-09-31,1,Green,0,0,0,0,0,0,100,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,65,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,316",NA,NA,NA,"12,316",NA,NA,NA,"35,753","56,136","393,286","617,495",71,NA,NA,NA,-967,"-547,091",1,-495,"-280,176",1,Moderate,NA,88,1,77,75,100,33,100,https://www.bayernlb.de/internet/media/de/ir/downloads_1/investor_relations_3/green_bond/Impact_Reporting_2021.pdf
BE6328785207,0.375% SNR NPF EMTN 08/06/2027 EUR100000,231319,Belfius Bank SA,Financials,Belgium,08/06/2021,17/06/2022,17/06/2022,500,EUR,1.13,8/6/2027,0.38,Green,0,0,100,0,0,0,0,Buildings,100,49,0,0,0,0,0,51,0,0,0,0,0,0,0,47,3,0,0,0,0,0,51,0,0,0,0,0,0,0,0,NA ,"160,045", NA , NA , NA ,"160,045", NA , NA ,"1,287","11,673","9,008","81,708", NA ,4, NA , NA ,-5,"-2,604",1,-173,"-97,915",1,Low,62,80,1,94,75,100,100,100,https://www.belfius.be/about-us/dam/corporate/investors/debt-issuances/green-bonds/Green-bond-Reporting-March-2022.pdf
DE000BHY0GS9,1.125% SNR NTS 25/10/2027 EUR100000'114',227902,Berlin Hyp AG,Financials,Germany,24/10/2017,21/06/2022,21/06/2022,500,EUR,1.15,25-10-27,1.13,Green,0,0,100,0,0,0,0,Buildings,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,93,0,0,0,0,0,0,0,NA,"273,063",NA,NA,NA,"273,063",NA,NA,"1,923","17,483","21,149","192,310",NA,5,NA,NA,-7,"-3,905",1,-7,"-3,950",1,Low,NA,81,1,78,79,100,33,100,https://www.berlinhyp.de/en/investors/green-bonds?file=files/media/corporate/investoren/green-bonds/green-bonds/reportings/en/berlin-hyp-green-bond-annual-report.pdf; https://www.berlinhyp.de/en/investors/green-bonds?file=files/media/corporate/investoren/green-bonds/green-bonds/reportings/de/impactreportingtemplate-berlinhyp-2022.xlsx
DE000BHY0GP5,0.125% PFBRF 05/05/2022 EUR1000 '191',227902,Berlin Hyp AG,Financials,Germany,05/05/2015,21/06/2022,21/06/2022,500,EUR,1.14,5/5/2022,0.13,Green,0,0,100,0,0,0,0,Buildings,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,93,0,0,0,0,0,0,0,NA,"269,767",NA,NA,NA,"269,767",NA,NA,"1,899","17,465","15,196","139,721",NA,5,NA,NA,-7,"-3,922",1,-7,"-3,950",1,Low,NA,81,1,78,79,100,33,100,https://www.berlinhyp.de/en/investors/green-bonds?file=files/media/corporate/investoren/green-bonds/green-bonds/reportings/en/berlin-hyp-green-bond-annual-report.pdf; https://www.berlinhyp.de/en/investors/green-bonds?file=files/media/corporate/investoren/green-bonds/green-bonds/reportings/de/impactreportingtemplate-berlinhyp-2022.xlsx
